txn_id,amount,tid,merchant,when,category,reason,settled_to_wallet,live_txnStatus,live_txnType,live_batchStatus,live_settlementDate
"PL_7213643822",20126,"43135168","avika","2026-08-18T14:00:48.95+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-01 20:26:20.723"
"PL_7248177850",40569,"43133668","avika","2026-09-06T14:20:15.697+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-06 19:53:36.81"
"PL_7249212857",71884,"43136372","avika","2026-09-07T08:25:05.687+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","OPEN",""
"PL_7243982058",8600,"43131044","avika","2026-09-04T13:33:09.67+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-04 22:45:17.917"
"PL_7244015653",24800,"43131043","avika","2026-09-04T13:46:45.57+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-04 22:45:17.73"
"PL_7244977617",74900,"43135142","avika","2026-09-05T07:33:09.653+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 16:16:53.903"
"PL_7245471165",30250,"43159312","samedaytours","2026-09-05T11:04:03.213+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","OPEN",""
"PL_7245944724",69,"43133659","avika","2026-09-05T13:52:57.913+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 22:45:16.18"
"PL_7245949303",105,"43133659","avika","2026-09-05T13:54:27.387+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 22:45:16.18"
"PL_7245966827",10000,"43135164","avika","2026-09-05T14:00:01.557+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 22:45:13.18"
"PL_7246071785",51250,"43135164","avika","2026-09-05T14:33:50.287+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 22:45:13.18"
"PL_7246166927",49999,"43135164","avika","2026-09-05T15:05:43.397+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-05 22:45:13.18"
"PL_7246927785",103667,"43135142","avika","2026-09-06T07:01:24.563+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-06 15:21:38.837"
"PL_7246938640",103668,"43135142","avika","2026-09-06T07:05:47.937+00:00","REVERSED","reversed:STATUS:FAILED",false,"FAILED","SALE","CLOSED","2026-09-06 15:21:38.837"
"PL_1803293647",1,"43135175","avika","2026-07-10T10:24:02.41+00:00","UNSETTLED_OLD","unsettled>2d",false,"SUCCESS","SALE","OPEN",""
"PL_2023866297",37740,"43136385","avika","2026-08-22T09:53:55.28+00:00","UNSETTLED_OLD","unsettled>2d",false,"SUCCESS","SALE","OPEN",""
"PL_1834911249",5,"43135158","avika","2026-07-16T11:22:34.093+00:00","UNSETTLED_OLD","unsettled>2d",false,"SUCCESS","SALE","OPEN",""
"PL_2065353882",26000,"43133679","avika","2026-08-30T07:38:54.96+00:00","UNSETTLED_OLD","unsettled>2d",false,"SUCCESS","SALE","OPEN",""
